customer_id,customer_name,gender,age,city,join_date
201,"Ashley Silva",F,-47,"Lake Edwardfort",2021-01-19
202,"Ethan Shannon",F,55,Jaredshire,2021-05-10
203,"Colleen Lopez",M,31,"South Eric",2023-07-18
204,"Sarah Nguyen",F,52,"South Wendyhaven",2020-01-23
205,"Eric Ruiz",M,61,"North Mark",2020-05-19
206,"Kristen Kelley",F,23,"North Lisaport",2022-12-13
207,"Charles Burgess",F,24,"Port Daniel",2023-06-06
208,"Kristine Murray",M,34,Katiebury,2023-02-06
209,"Daniel Carter",M,40,"New Melissa",2021-07-25
210,"Geoffrey Johnson",F,46,Jacquelineview,2021-09-26
211,"Megan Holt",M,53,"East Jacobmouth",2021-12-31
212,"Miss Sara White",F,40,"Lake Nicholasshire",2021-09-21
213,"Jasmine Lowery",F,47,"Port Taratown",2021-07-12
214,"Gary Nixon",M,45,Pachecobury,2020-10-23
215,"Jenna Sanchez",M,56,"East Lonnieshire",2022-05-04
216,"Sara Ramirez",M,65,Chapmanhaven,2022-10-17
217,"Christopher Brown",F,58,"Lake Sandra",2021-01-28
218,"Alexander Moore",F,56,"New Keithmouth",2021-02-14
219,"Troy Melton",M,36,"Port Lisa",2022-02-19
220,"Judith Hays",F,53,"East Michelleton",2022-12-11
221,"Judith Lopez",M,61,"North Jacqueline",2023-01-17
222,"Katherine Dawson",M,29,"South Johnmouth",2022-11-22
223,"Tara Mcdowell",M,-41,Kathrynfort,2022-03-17
224,"Antonio Watts",M,23,Hoganchester,2023-12-09
225,"Crystal Coleman",F,55,Williamton,2021-03-09
226,"Jennifer Martinez",M,43,Matthewshire,2023-01-08
227,"Matthew Franklin",M,59,"Port Charlesshire",2023-09-02
228,"Albert Zhang",M,29,Adamsbury,2023-12-01
229,"Kyle Fisher",M,45,Hernandezville,2020-10-01
230,"Stephanie Clay",F,34,Tracyfurt,2022-09-08
231,"Robert Harris",M,23,"South Christopher",2023-11-13
232,"James Taylor",F,30,Coreymouth,2021-09-05
233,"Michelle Munoz",F,50,Aaronmouth,2023-07-13
234,"Sherry Lee",M,54,Danielshire,2024-01-16
235,"Kimberly Johnson",M,47,Cherylmouth,2020-06-19
236,"Kristopher Sloan",M,24,Flowersburgh,2023-04-13
237,"William Lyons",M,37,"New Danielle",2020-06-15
238,"Erik Roberts",M,55,Berryburgh,2024-01-29
239,"Ashlee Riley",F,18,Eddieburgh,2024-08-28
240,"Alicia Dominguez",M,31,Carrville,2024-02-25
241,"Joseph Walker",M,38,"Port Blakeview",2022-01-04
242,"Richard Taylor",F,30,Bradchester,2024-11-03
243,"Kaylee Edwards",M,23,Youngfort,2024-04-26
244,"Christopher Randall",F,27,Maynardland,2021-11-29
245,"Victoria Green",M,55,"New Teresa",2024-12-14
246,"Kevin ",F,-52,"New Maryshire",2023-08-10
247,"Bonnie Perry",F,46,"New Denise",2024-10-01
248,"Russell Carroll",M,47,Hallstad,2022-11-27
249,"Richard Snyder",F,47,Johnsonstad,2023-09-23
250,"Joseph Morrison",F,56,"Port Megan",2022-12-31
251,"Darius Prince",F,29,"West Kelly",2022-04-18
252,"Lisa Farmer",F,32,"East Reginaldfurt",2022-04-14
253,"Kelly Chan",F,31,"Lake Samantha",2020-03-12
254,"William Nielsen",F,54,"East Williamport",2020-11-19
255,"Austin Martin",F,33,"South Jameston",2022-01-09
256,"Lynn Martin",M,41,"South George",2020-08-08
257,"Brandon Harris",F,58,"New Kenneth",2024-12-02
258,"Joseph Stanley",F,56,"Port Kristabury",2023-07-16
259,"Hunter Johnson",F,33,"New Jeromeville",2020-11-18
260," Hill",F,64,Wallerport,2023-10-17
261,"Stephanie Vaughn",F,37,"North Tracyhaven",2022-06-01
262,"James Roberts",M,52,"West Dianafurt",2022-01-17
263,"Jared Wright",M,55,"Port Michaelmouth",2023-12-14
264,"Christopher Sanchez",F,28,"West Kenneth",2022-06-17
265,"Bonnie Cochran",F,35,Wilkinsstad,2020-02-25
266,"Elizabeth Cohen",F,61,"South Corymouth",2023-10-21
267,"Alyssa Anderson",F,40,"East Hannah",2021-06-02
268,"Jennifer Gordon",F,30,Richardtown,2021-10-03
269,"Stephanie Little",M,18,Rojasmouth,2024-11-05
270,"Gabriel Jimenez",F,19,Clarkemouth,2020-04-15
271,"Cheryl Brown",M,19,Sanchezhaven,2023-12-15
272,"Matthew Hutchinson",F,50,Howardton,2022-09-21
273,"Brian Barnes",M,62,"New Ethan",2023-12-13
274,"Sharon Ortiz",F,58,"South Joanna",2021-06-22
275,"Mckenzie Williams PhD",M,43,Justinburgh,2024-04-29
276,"Victoria Nichols",F,29,"Port Joannemouth",2023-01-24
277,"John Moreno",M,55,Graystad,2024-01-16
278,"Jody Acosta",M,18,"Lake Jamieview",2020-07-23
279,"Aaron Richards",M,22,Robinton,2020-03-22
280,"Brian Williams",M,23,"Lake Meghanmouth",2023-10-18
281,"Amber Schaefer",F,53,Ryanmouth,2020-12-22
282,"Matthew Jones",M,36,Thomashaven,2024-06-08
283,"Ernest Davis",M,42,"East Lisa",2022-08-15
284,"Barbara Holt",F,45,"Lake Christopher",2022-12-08
285,"Sarah Bruce",F,33,"Lake Heidi",2021-06-29
286,"John Brown",F,34,"South Bobbyfort",2023-06-06
287,"Colleen Solis",M,21,"South Karen",2021-12-18
